season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,rainfall_sep,rainfall_oct,rainfall_nov,rainfall_dec,rainfall_jan,rainfall_feb,rainfall_mar,rainfall_apr,growing_season_average_temperature,temperature_sep,temperature_oct,temperature_nov,temperature_dec,temperature_jan,temperature_feb,temperature_mar,temperature_apr,growing_season_total_rainfall
16-17,4,2,2016-08-16,2016-12-01,4,164235552,134.85163551401868,99.5732398753894,243.5348286604361,215.65772585669785,262.6215420560748,198.77255451713395,148.83420560747663,31.00931464174455,24.29186331775701,23.915327102803737,25.74590342679128,24.511495327102804,24.493006230529595,24.04744548286604,24.805841121495327,23.70070093457944,23.11518691588785,1334.855046728972
16-17,4,3,2016-12-16,2017-04-01,4,14521783,134.85163551401868,99.5732398753894,243.5348286604361,215.65772585669785,262.6215420560748,198.77255451713395,148.83420560747663,31.00931464174455,24.29186331775701,23.915327102803737,25.74590342679128,24.511495327102804,24.493006230529595,24.04744548286604,24.805841121495327,23.70070093457944,23.11518691588785,1334.855046728972
17-18,4,1,2017-04-16,2017-08-01,4,180019004,20.741308411214952,113.90741433021806,108.73431464174456,149.77514018691588,271.5461214953271,94.90554517133955,127.49587227414332,109.05806853582554,23.41456580996885,21.256214953271027,23.49132398753894,23.8047507788162,24.60638629283489,24.11228971962617,24.605809968847357,23.588722741433024,21.851028037383177,996.163785046729
17-18,4,2,2017-08-16,2017-12-01,4,161350549,20.741308411214952,113.90741433021806,108.73431464174456,149.77514018691588,271.5461214953271,94.90554517133955,127.49587227414332,109.05806853582554,23.41456580996885,21.256214953271027,23.49132398753894,23.8047507788162,24.60638629283489,24.11228971962617,24.605809968847357,23.588722741433024,21.851028037383177,996.163785046729
17-18,4,3,2017-12-16,2018-04-01,4,15772789,20.741308411214952,113.90741433021806,108.73431464174456,149.77514018691588,271.5461214953271,94.90554517133955,127.49587227414332,109.05806853582554,23.41456580996885,21.256214953271027,23.49132398753894,23.8047507788162,24.60638629283489,24.11228971962617,24.605809968847357,23.588722741433024,21.851028037383177,996.163785046729
18-19,4,1,2018-04-16,2018-08-01,4,190517898,21.954984423676013,126.5948598130841,191.6410124610592,176.93166666666667,212.4207476635514,136.23429906542057,146.69872274143302,31.59529595015576,23.914363317757008,23.95752336448598,25.08144859813084,23.369657320872275,24.46747663551402,24.06585669781932,23.48179127725857,24.7283800623053,22.16277258566978,1044.0715887850467
18-19,4,2,2018-08-16,2018-12-01,4,131878873,21.954984423676013,126.5948598130841,191.6410124610592,176.93166666666667,212.4207476635514,136.23429906542057,146.69872274143302,31.59529595015576,23.914363317757008,23.95752336448598,25.08144859813084,23.369657320872275,24.46747663551402,24.06585669781932,23.48179127725857,24.7283800623053,22.16277258566978,1044.0715887850467
18-19,4,3,2018-12-16,2019-04-01,4,10941398,21.954984423676013,126.5948598130841,191.6410124610592,176.93166666666667,212.4207476635514,136.23429906542057,146.69872274143302,31.59529595015576,23.914363317757008,23.95752336448598,25.08144859813084,23.369657320872275,24.46747663551402,24.06585669781932,23.48179127725857,24.7283800623053,22.16277258566978,1044.0715887850467
19-20,4,1,2019-04-16,2019-08-01,4,180557833,76.48813084112149,171.4752492211838,178.0336292834891,111.31084112149532,129.68433021806854,193.06015576323983,133.59233644859813,90.57260124610592,24.25196261682243,22.591728971962617,23.582009345794397,23.525264797507788,25.337056074766355,26.303566978193142,25.17797507788162,23.95285046728972,23.5452492211838,1084.217274143302
19-20,4,2,2019-08-16,2019-12-01,4,156839887,76.48813084112149,171.4752492211838,178.0336292834891,111.31084112149532,129.68433021806854,193.06015576323983,133.59233644859813,90.57260124610592,24.25196261682243,22.591728971962617,23.582009345794397,23.525264797507788,25.337056074766355,26.303566978193142,25.17797507788162,23.95285046728972,23.5452492211838,1084.217274143302
19-20,4,3,2019-12-16,2020-04-01,4,5915795,76.48813084112149,171.4752492211838,178.0336292834891,111.31084112149532,129.68433021806854,193.06015576323983,133.59233644859813,90.57260124610592,24.25196261682243,22.591728971962617,23.582009345794397,23.525264797507788,25.337056074766355,26.303566978193142,25.17797507788162,23.95285046728972,23.5452492211838,1084.217274143302
20-21,4,1,2020-04-16,2020-08-01,4,198524550,55.31693146417446,52.8270093457944,144.4410124610592,153.7997196261682,182.4693769470405,238.24965732087227,82.23978193146418,28.56764797507788,24.463088006230528,24.67582554517134,26.34208722741433,25.48627725856698,24.81607476635514,25.165919003115267,23.901308411214952,23.416822429906546,21.900389408099688,937.9111370716512
20-21,4,2,2020-08-16,2020-12-01,4,155660231,55.31693146417446,52.8270093457944,144.4410124610592,153.7997196261682,182.4693769470405,238.24965732087227,82.23978193146418,28.56764797507788,24.463088006230528,24.67582554517134,26.34208722741433,25.48627725856698,24.81607476635514,25.165919003115267,23.901308411214952,23.416822429906546,21.900389408099688,937.9111370716512
20-21,4,3,2020-12-16,2021-04-01,4,2322734,55.31693146417446,52.8270093457944,144.4410124610592,153.7997196261682,182.4693769470405,238.24965732087227,82.23978193146418,28.56764797507788,24.463088006230528,24.67582554517134,26.34208722741433,25.48627725856698,24.81607476635514,25.165919003115267,23.901308411214952,23.416822429906546,21.900389408099688,937.9111370716512
21-22,4,1,2021-04-16,2021-08-01,4,177243432,17.03297507788162,72.64785046728971,64.42264797507788,155.4091277258567,127.16582554517134,100.80426791277256,89.4868691588785,26.713769470404987,25.20817951713396,25.77403426791277,26.256682242990657,24.991557632398752,25.65560747663552,25.712616822429908,25.255498442367603,25.356121495327105,22.663317757009345,653.6833333333334
21-22,4,2,2021-08-16,2021-12-01,4,121185437,17.03297507788162,72.64785046728971,64.42264797507788,155.4091277258567,127.16582554517134,100.80426791277256,89.4868691588785,26.713769470404987,25.20817951713396,25.77403426791277,26.256682242990657,24.991557632398752,25.65560747663552,25.712616822429908,25.255498442367603,25.356121495327105,22.663317757009345,653.6833333333334
21-22,4,3,2021-12-16,2022-04-01,4,259435,17.03297507788162,72.64785046728971,64.42264797507788,155.4091277258567,127.16582554517134,100.80426791277256,89.4868691588785,26.713769470404987,25.20817951713396,25.77403426791277,26.256682242990657,24.991557632398752,25.65560747663552,25.712616822429908,25.255498442367603,25.356121495327105,22.663317757009345,653.6833333333334
22-23,4,1,2022-04-16,2022-08-01,4,162879156,23.31233644859813,171.41091900311525,102.18250778816198,139.81764797507788,257.3356230529595,109.85580996884735,129.3326323987539,41.36982866043613,24.333469626168224,25.63461059190031,23.530981308411214,24.6092523364486,24.485996884735204,24.57780373831776,24.238971962616823,24.601557632398755,22.988582554517134,974.61730529595
22-23,4,2,2022-08-16,2022-12-01,4,146199428,23.31233644859813,171.41091900311525,102.18250778816198,139.81764797507788,257.3356230529595,109.85580996884735,129.3326323987539,41.36982866043613,24.333469626168224,25.63461059190031,23.530981308411214,24.6092523364486,24.485996884735204,24.57780373831776,24.238971962616823,24.601557632398755,22.988582554517134,974.61730529595
22-23,4,3,2022-12-16,2023-04-01,4,5430079,23.31233644859813,171.41091900311525,102.18250778816198,139.81764797507788,257.3356230529595,109.85580996884735,129.3326323987539,41.36982866043613,24.333469626168224,25.63461059190031,23.530981308411214,24.6092523364486,24.485996884735204,24.57780373831776,24.238971962616823,24.601557632398755,22.988582554517134,974.61730529595
23-24,4,1,2023-04-16,2023-08-01,4,180793759,100.89781931464177,108.55984423676011,98.4534890965732,212.63481308411207,209.15680685358257,182.3918224299065,123.1161059190031,87.32070093457943,23.20907710280374,21.599968847352024,24.04822429906542,22.98713395638629,24.05602803738317,23.6777570093458,23.82177570093458,23.91366043613707,21.568068535825542,1122.5314018691588
23-24,4,2,2023-08-16,2023-12-01,4,184563612,100.89781931464177,108.55984423676011,98.4534890965732,212.63481308411207,209.15680685358257,182.3918224299065,123.1161059190031,87.32070093457943,23.20907710280374,21.599968847352024,24.04822429906542,22.98713395638629,24.05602803738317,23.6777570093458,23.82177570093458,23.91366043613707,21.568068535825542,1122.5314018691588
23-24,4,3,2023-12-16,2024-04-01,4,22245202,100.89781931464177,108.55984423676011,98.4534890965732,212.63481308411207,209.15680685358257,182.3918224299065,123.1161059190031,87.32070093457943,23.20907710280374,21.599968847352024,24.04822429906542,22.98713395638629,24.05602803738317,23.6777570093458,23.82177570093458,23.91366043613707,21.568068535825542,1122.5314018691588
24-25,4,1,2024-04-16,2024-08-01,4,197071718,36.949984423676014,172.5401090342679,100.20395638629284,77.00595015576324,124.56844236760124,106.37163551401868,112.49850467289718,47.43671339563863,26.58614875389408,26.277180685358257,26.152476635514017,27.01757009345794,27.953457943925237,26.918052959501555,26.80934579439252,26.61188473520249,24.949221183800624,777.5752959501558
24-25,4,2,2024-08-16,2024-12-01,4,153139309,36.949984423676014,172.5401090342679,100.20395638629284,77.00595015576324,124.56844236760124,106.37163551401868,112.49850467289718,47.43671339563863,26.58614875389408,26.277180685358257,26.152476635514017,27.01757009345794,27.953457943925237,26.918052959501555,26.80934579439252,26.61188473520249,24.949221183800624,777.5752959501558
24-25,4,3,2024-12-16,2025-04-01,4,7238416,36.949984423676014,172.5401090342679,100.20395638629284,77.00595015576324,124.56844236760124,106.37163551401868,112.49850467289718,47.43671339563863,26.58614875389408,26.277180685358257,26.152476635514017,27.01757009345794,27.953457943925237,26.918052959501555,26.80934579439252,26.61188473520249,24.949221183800624,777.5752959501558
25-26,4,1,2025-04-16,2025-08-01,4,173061665,15.781495327102803,111.9001246105919,185.4763551401869,175.98453271028038,106.72911214953272,81.47781931464175,52.85845794392523,67.35587227414331,25.507899143302183,26.12772585669782,25.58468847352025,24.478566978193147,24.82026479750779,25.96045171339564,26.325919003115267,26.84082554517134,23.9247507788162,797.5637694704051
25-26,4,2,2025-08-16,2025-12-01,4,163702073,15.781495327102803,111.9001246105919,185.4763551401869,175.98453271028038,106.72911214953272,81.47781931464175,52.85845794392523,67.35587227414331,25.507899143302183,26.12772585669782,25.58468847352025,24.478566978193147,24.82026479750779,25.96045171339564,26.325919003115267,26.84082554517134,23.9247507788162,797.5637694704051
25-26,4,3,2025-12-16,2026-04-01,4,8169327,15.781495327102803,111.9001246105919,185.4763551401869,175.98453271028038,106.72911214953272,81.47781931464175,52.85845794392523,67.35587227414331,25.507899143302183,26.12772585669782,25.58468847352025,24.478566978193147,24.82026479750779,25.96045171339564,26.325919003115267,26.84082554517134,23.9247507788162,797.5637694704051
